Sample,Output_Q31,Output_Float
0,0.000000,0.000000
1,0.000000,0.000000
2,0.000000,0.000000
3,0.000000,0.000000
4,0.000000,0.000000
5,0.000000,0.000000
6,0.000000,0.000000
7,0.000000,0.000000
8,0.000000,0.000000
9,0.000000,0.000000
10,0.000000,0.000000
11,0.000000,0.000000
12,0.000000,0.000000
13,0.000000,0.000000
14,0.000000,0.000000
15,0.000000,0.000000
16,0.000000,0.000000
17,0.000000,0.000000
18,0.000000,0.000000
19,0.000000,0.000000
20,0.000000,0.000000
21,0.000000,0.000000
22,0.000000,0.000000
23,0.000000,0.000000
24,0.000000,0.000000
25,0.000000,0.000000
26,0.000000,0.000000
27,0.000000,0.000000
28,0.000000,0.000000
29,0.000000,0.000000
30,0.000000,0.000000
31,0.000000,0.000000
32,0.000000,0.000000
33,0.000000,102453642044429603716542874561639926881666311688378461450732252813365730529381154926543655599196689111702749884923205143549354637344888586240.000000
34,0.000000,-0.021073
35,0.000000,-0.000000
36,0.000000,0.000000
37,0.000000,0.000000
38,0.000000,0.000000
39,0.000000,0.000000
40,0.000000,1737174458104466313540688009827143395504261732434628655900004357123165359396825405991222338220053896090486590704687383593415641951056130531736645564548506214463099215353732434665341005964173946723328781689522343668329438867997801541152907554979840.000000
41,0.000000,-21570123568490737313387283043764239948686367108907994182520390297400933519088590243069876570507673856187440962964700547066164228646208727224426120807689283542277963788750499658790850822306836271626189782160494917844992.000000
42,0.000000,-1328652659333831311175376967897796159385614397447122044720885151111102998453608721625419568429470236265453842496735147770155296895825218352806271270923441081655840684067699583483306259630365081600.000000
43,0.000000,-24393644087626850666409377028492398023267779182141627553234274513584128.000000
44,0.000000,-0.000000
45,0.000000,0.000000
46,0.000000,13990454100370095632064222069517329053491251064036287191530911544515353378816.000000
47,0.000000,-0.000000
48,0.000000,1911420539521441362310362978439812884775228630023050410322656420953461345175615730986753986859630592.000000
49,0.000000,-0.000000
50,0.000000,105149043244084808897525710848.000000
51,0.000000,1783587688406602359312436214186803621271152056704781232303007652083466432642025604093997396545359299015178751647915311201921210785413027000928783876162111806840154936201447087269884181760253953606607793626226686463308279834515320550407635155893397618318182481347287791591424679958182455718300435253471215616.000000
52,0.000000,0.000000
53,0.000000,0.000000
54,0.000000,3.987238
55,0.000000,-0.000000
56,0.000000,0.000000
